+--------------+----------------------+
|     Gene     | Number of Variations |
+--------------+----------------------+
| NM_001351365 |          75          |
| NM_001278267 |          75          |
| NM_001277444 |          50          |
|  NM_015215   |          34          |
| NM_001349612 |          34          |
| NM_001349610 |          34          |
| NM_001349609 |          34          |
| NM_001349608 |          34          |
| NM_001005337 |          32          |
|  NM_000299   |          32          |
| NM_001366008 |          25          |
| NM_001366004 |          25          |
| NM_001366003 |          25          |
|  NM_001035   |          23          |
|  NM_145861   |          21          |
|  NM_018012   |          21          |
|  NM_080738   |          19          |
| NM_001367479 |          16          |
|  NM_201628   |          15          |
|  NM_014697   |          15          |
| NM_001164757 |          15          |
|  NR_031644   |          13          |
|  NM_032880   |          13          |
|  NM_015209   |          13          |
|  NM_002600   |          13          |
| NM_001370230 |          13          |
| NM_001302371 |          13          |
| NM_001297440 |          13          |
| NM_001039703 |          13          |
| NM_001037341 |          13          |
|  NR_028393   |          12          |
|  NM_199454   |          12          |
|  NM_052843   |          12          |
|  NM_022114   |          12          |
|  NM_020318   |          12          |
|  NM_018194   |          12          |
| NM_001297704 |          12          |
| NM_001271223 |          12          |
| NM_001170588 |          12          |
| NM_001170587 |          12          |
| NM_001170580 |          12          |
| NM_001170564 |          12          |
| NM_001122834 |          12          |
| NM_001098623 |          12          |
|  NR_158982   |          11          |
|  NR_147074   |          11          |
|  NR_146056   |          11          |
|  NR_136297   |          11          |
|  NR_136296   |          11          |
|  NR_136295   |          11          |
|  NR_136294   |          11          |
|  NR_136293   |          11          |
|  NR_136292   |          11          |
|  NR_136291   |          11          |
|  NR_136290   |          11          |
|  NR_136289   |          11          |
|  NR_136288   |          11          |
|  NM_176877   |          11          |
|  NM_152996   |          11          |
|  NM_020066   |          11          |
|  NM_014857   |          11          |
| NM_001375985 |          11          |
| NM_001375984 |          11          |
| NM_001375983 |          11          |
| NM_001375982 |          11          |
| NM_001375981 |          11          |
| NM_001375980 |          11          |
| NM_001375979 |          11          |
| NM_001375978 |          11          |
| NM_001366448 |          11          |
| NM_001366446 |          11          |
| NM_001350145 |          11          |
| NM_001349111 |          11          |
| NM_001349110 |          11          |
| NM_001349109 |          11          |
| NM_001349108 |          11          |
| NM_001349107 |          11          |
| NM_001349106 |          11          |
| NM_001349105 |          11          |
| NM_001348094 |          11          |
| NM_001347716 |          11          |
| NM_001322304 |          11          |
| NM_001322303 |          11          |
| NM_001322302 |          11          |
| NM_001305424 |          11          |
| NM_001297441 |          11          |
| NM_001291866 |          11          |
| NM_001160011 |          11          |
|  NR_040077   |          10          |
|  NM_018291   |          10          |
|  NM_004481   |          10          |
|  NM_003036   |          10          |
| NM_001366447 |          10          |
| NM_001350799 |          10          |
| NM_001350798 |          10          |
| NM_001350797 |          10          |
| NM_001350796 |          10          |
| NM_001350795 |          10          |
| NM_001350794 |          10          |
| NM_001350793 |          10          |
| NM_001350792 |          10          |
| NM_001350791 |          10          |
| NM_001350790 |          10          |
| NM_001244714 |          10          |
| NM_001113411 |          10          |
| NM_001037340 |          10          |
| NM_001017424 |          10          |
|  NM_173508   |          9           |
|  NM_170692   |          9           |
|  NM_018891   |          9           |
|  NM_018662   |          9           |
|  NM_017449   |          9           |
|  NM_005562   |          9           |
|  NM_005427   |          9           |
|  NM_004442   |          9           |
|  NM_002481   |          9           |
| NM_001331029 |          9           |
| NM_001309193 |          9           |
| NM_001309192 |          9           |
| NM_001205294 |          9           |
| NM_001205293 |          9           |
| NM_001204188 |          9           |
| NM_001204187 |          9           |
| NM_001204186 |          9           |
| NM_001204185 |          9           |
| NM_001204184 |          9           |
| NM_001164547 |          9           |
| NM_001164541 |          9           |
| NM_001164540 |          9           |
| NM_001164538 |          9           |
| NM_001164537 |          9           |
| NM_001012957 |          9           |
|  NM_000721   |          9           |
|  NR_158171   |          8           |
|  NR_158170   |          8           |
|  NR_146559   |          8           |
|  NR_126347   |          8           |
|  NR_110787   |          8           |
|  NR_028398   |          8           |
|  NR_028397   |          8           |
|  NR_028396   |          8           |
|  NR_028395   |          8           |
|  NR_028394   |          8           |
|  NR_027459   |          8           |
|  NM_153262   |          8           |
|  NM_022093   |          8           |
|  NM_021936   |          8           |
|  NM_020443   |          8           |
|  NM_015569   |          8           |
|  NM_005595   |          8           |
| NM_001350206 |          8           |
| NM_001350204 |          8           |
| NM_001278224 |          8           |
| NM_001256006 |          8           |
| NM_001146264 |          8           |
| NM_001146262 |          8           |
| NM_001146261 |          8           |
| NM_001145512 |          8           |
| NM_001145511 |          8           |
| NM_001136127 |          8           |
| NM_001134673 |          8           |
|  NM_000740   |          8           |
|  NR_164748   |          7           |
|  NR_103473   |          7           |
|  NR_026989   |          7           |
|  NM_182664   |          7           |
|  NM_182663   |          7           |
|  NM_173807   |          7           |
|  NM_032104   |          7           |
|  NM_032103   |          7           |
|  NM_031935   |          7           |
|  NM_018150   |          7           |
|  NM_015203   |          7           |
|  NM_015112   |          7           |
|  NM_012090   |          7           |
|  NM_004892   |          7           |
|  NM_003679   |          7           |
| NM_001376487 |          7           |
| NM_001376486 |          7           |
| NM_001370216 |          7           |
| NM_001366452 |          7           |
| NM_001366451 |          7           |
| NM_001366450 |          7           |
| NM_001324320 |          7           |
| NM_001319956 |          7           |
| NM_001319245 |          7           |
| NM_001297674 |          7           |
| NM_001297673 |          7           |
| NM_001242340 |          7           |
| NM_001130957 |          7           |
|  NR_028400   |          6           |
|  NR_028399   |          6           |
|  NM_152663   |          6           |
|  NM_015978   |          6           |
|  NM_012302   |          6           |
|  NM_006642   |          6           |
| NM_001376488 |          6           |
| NM_001366934 |          6           |
| NM_001366456 |          6           |
| NM_001366454 |          6           |
| NM_001366453 |          6           |
| NM_001366009 |          6           |
| NM_001366007 |          6           |
| NM_001366006 |          6           |
| NM_001366005 |          6           |
| NM_001366002 |          6           |
| NM_001353131 |          6           |
| NM_001350699 |          6           |
| NM_001350698 |          6           |
| NM_001350251 |          6           |
| NM_001350249 |          6           |
| NM_001350248 |          6           |
| NM_001350247 |          6           |
| NM_001350246 |          6           |
| NM_001330989 |          6           |
| NM_001330645 |          6           |
| NM_001319957 |          6           |
| NM_001297706 |          6           |
| NM_001297705 |          6           |
| NM_001286247 |          6           |
| NM_001243765 |          6           |
| NM_001204192 |          6           |
| NM_001204191 |          6           |
| NM_001204190 |          6           |
| NM_001204189 |          6           |
| NM_001164546 |          6           |
| NM_001164542 |          6           |
| NM_001164539 |          6           |
| NM_001137669 |          6           |
| NM_001126242 |          6           |
| NM_001126241 |          6           |
| NM_001126240 |          6           |
| NM_001112808 |          6           |
| NM_001017403 |          6           |
| NM_001012959 |          6           |
|  NR_136287   |          5           |
|  NR_102302   |          5           |
|  NR_046217   |          5           |
|  NR_033716   |          5           |
|  NM_181359   |          5           |
|  NM_152495   |          5           |
|  NM_152238   |          5           |
|  NM_052929   |          5           |
|  NM_032291   |          5           |
|  NM_030918   |          5           |
|  NM_021636   |          5           |
|  NM_020127   |          5           |
|  NM_018650   |          5           |
|  NM_015976   |          5           |
|  NM_015149   |          5           |
|  NM_015090   |          5           |
|  NM_014917   |          5           |
|  NM_014810   |          5           |
|  NM_013945   |          5           |
|  NM_007358   |          5           |
|  NM_006256   |          5           |
|  NM_006182   |          5           |
|  NM_005012   |          5           |
|  NM_002858   |          5           |
|  NM_002585   |          5           |
|  NM_002584   |          5           |
| NM_001382774 |          5           |
| NM_001382773 |          5           |
| NM_001382772 |          5           |
| NM_001382771 |          5           |
| NM_001382770 |          5           |
| NM_001382769 |          5           |
| NM_001378329 |          5           |
| NM_001376555 |          5           |
| NM_001376554 |          5           |
| NM_001376552 |          5           |
| NM_001376551 |          5           |
| NM_001376550 |          5           |
| NM_001376549 |          5           |
| NM_001376548 |          5           |
| NM_001376547 |          5           |
| NM_001376546 |          5           |
| NM_001376545 |          5           |
| NM_001376544 |          5           |
| NM_001376543 |          5           |
| NM_001376542 |          5           |
| NM_001376541 |          5           |
| NM_001376540 |          5           |
| NM_001376539 |          5           |
| NM_001376538 |          5           |
| NM_001376537 |          5           |
| NM_001376536 |          5           |
| NM_001376535 |          5           |
| NM_001376534 |          5           |
| NM_001372171 |          5           |
| NM_001372170 |          5           |
| NM_001372169 |          5           |
| NM_001372168 |          5           |
| NM_001372167 |          5           |
| NM_001372166 |          5           |
| NM_001370785 |          5           |
| NM_001366841 |          5           |
| NM_001366839 |          5           |
| NM_001366838 |          5           |
| NM_001366457 |          5           |
| NM_001366455 |          5           |
| NM_001365986 |          5           |
| NM_001364903 |          5           |
| NM_001354983 |          5           |
| NM_001354982 |          5           |
| NM_001353130 |          5           |
| NM_001350218 |          5           |
| NM_001350217 |          5           |
| NM_001350216 |          5           |
| NM_001348451 |          5           |
| NM_001330723 |          5           |
| NM_001330665 |          5           |
| NM_001330635 |          5           |
| NM_001322305 |          5           |
| NM_001320709 |          5           |
| NM_001320708 |          5           |
| NM_001320707 |          5           |
| NM_001320290 |          5           |
| NM_001320289 |          5           |
| NM_001312688 |          5           |
| NM_001308203 |          5           |
| NM_001301317 |          5           |
| NM_001297670 |          5           |
| NM_001297669 |          5           |
| NM_001286128 |          5           |
| NM_001286126 |          5           |
| NM_001286124 |          5           |
| NM_001282625 |          5           |
| NM_001204963 |          5           |
| NM_001204961 |          5           |
| NM_001199861 |          5           |
| NM_001199327 |          5           |
| NM_001167738 |          5           |
| NM_001164556 |          5           |
| NM_001164548 |          5           |
| NM_001164545 |          5           |
| NM_001164544 |          5           |
| NM_001164393 |          5           |
| NM_001164392 |          5           |
| NM_001164391 |          5           |
| NM_001160332 |          5           |
| NM_001135254 |          5           |
| NM_001126337 |          5           |
| NM_001113228 |          5           |
| NM_001113226 |          5           |
| NM_001083592 |          5           |
| NM_001017404 |          5           |
| NM_001014796 |          5           |
| NM_001007792 |          5           |
| NM_001005388 |          5           |
|  NM_000565   |          5           |
|  NR_168386   |          4           |
|  NR_147176   |          4           |
|  NR_146608   |          4           |
|  NR_137330   |          4           |
|  NR_126382   |          4           |
|  NR_111980   |          4           |
|  NR_103998   |          4           |
|  NR_049764   |          4           |
|  NR_037163   |          4           |
|  NR_033922   |          4           |
|  NR_027247   |          4           |
|  NM_207421   |          4           |
|  NM_182665   |          4           |
|  NM_178549   |          4           |
|  NM_172163   |          4           |
|  NM_152900   |          4           |
|  NM_138796   |          4           |
|  NM_030965   |          4           |
|  NM_030812   |          4           |
|  NM_030806   |          4           |
|  NM_025106   |          4           |
|  NM_021165   |          4           |
|  NM_020775   |          4           |
|  NM_020379   |          4           |
|  NM_018103   |          4           |
|  NM_015350   |          4           |
|  NM_015176   |          4           |
|  NM_015172   |          4           |
|  NM_015074   |          4           |
|  NM_012262   |          4           |
|  NM_007269   |          4           |
|  NM_007259   |          4           |
|  NM_004736   |          4           |
|  NM_004700   |          4           |
|  NM_004185   |          4           |
